name,latitude,longitude
CYR,47.4,0.683333
LD_18,48.5167,-4.06667
LD_46,48.5167,-4.06667
MAR_3,47.35,3.93333
PY_6,44.65,-1.16667
TO_A_88,46.6667,4.11667
TO_A_89,46.6667,4.11667
Zdarec3,49.3667,16.2667
Doubravnik7,49.4211,16.3497
Draha2,49.4112,16.2815
Borky1,49.403,16.232
G_1,47,15.5
BRR4,40.8313,-87.735
BRR12,40.8313,-87.735
BRR23,40.8313,-87.735
BRR57,40.8313,-87.735
BRR60,40.8313,-87.735
BRR107,40.8313,-87.735
L_W_039,40.9076,-73.2089
L_W_041,40.9076,-73.2089
L_O_061,40.7777,-72.9069
L_O_065,40.7777,-72.9069
L_R_096,40.9447,-72.8615
L_R_097,40.9447,-72.8615
L_E_011,40.9064,-73.1493
L_E_018,40.9064,-73.1493
L_SE_019,40.9352,-73.114
L_SE_036,40.9352,-73.114
Ka_1,42.3,74.3667
Su_1,42.1833,73.4
Dj_1,42.5833,73.6333
Za_1,42.8,76.35
Ne_6,37.35,72.4667
KY_33,37.9169,-84.4639
MI_1,41.7976,-86.6691
MI_5,41.7976,-86.6691
MI_20,41.8266,-86.4366
MI_24,41.8266,-86.4366
MI_31,41.8266,-86.4366
LIN _5,41.8972,-71.4378
CH_41,42.3634,-71.1445
Al_Stena_4_1,55.3833,14.05
Al_Stena_4_4,55.3833,14.05
Al_Stena_5_14,55.3833,14.05
Al_Stena_6_24,55.3833,14.05
Al_Stena_7_31,55.3833,14.05
Br??sar_1_135,55.7167,14.1333
Br??sar_1_138,55.7167,14.1333
Br??sar_2_140,55.7167,14.1333
Br??sar_3_145,55.7167,14.1333
Br??sar_4_153,55.7167,14.1333
Aleda__49,56.7,16.5167
Aleda_1_73,56.7,16.5167
To_8_387,59.4333,17.0167
To_9_393,59.4333,17.0167
"?""ngs?_5_422",59.5667,16.8667
"?""ngs?_7_430",59.5667,16.8667
Sk_30,63.0833,18.3667
Br_10,41.9,-86.583
Br_24,41.9,-86.583
DuckLkSP38,43.3431,-86.4045
DuckLkSP40,43.3431,-86.4045
Ha_2,41.879,-86.607
Ha_10,41.879,-86.607
KB_Ma_68,42.405,-85.398
KB_Ma_74,42.405,-85.398
Ke_4,42.184,-86.358
Ke_5,42.184,-86.358
__5,41.847,-86.67
__10,41.847,-86.67
La_12,41.8,-86.67
La_13,41.8,-86.67
Md_1,42.051,-86.509
Md_8,42.051,-86.509
Md_10,42.051,-86.509
MN_Po_10,43.595,-86.2657
MN_Po_15,43.595,-86.2657
MN_Po_21,43.595,-86.2657
MN_Po_75,43.595,-86.2657
MN_Ri_21,43.5139,-86.1859
MN_Ch_2,43.5251,-86.1843
MN_Ch_47,43.5251,-86.1843
MN_Ch_49,43.5251,-86.1843
MN_Ja_12,43.5187,-86.1739
MN_Pi_39,43.5356,-86.1788
MN_Pi_40,43.5356,-86.1788
Ma_8,42.166,-86.412
Ma_35,42.166,-86.412
Ma_42,42.166,-86.412
MuskS_68,43.2483,-86.3368
MuskS_83,43.2483,-86.3368
MSG_10,43.2749,-86.0891
MSG_12,43.2749,-86.0891
MSG_61,43.2749,-86.0891
Pa_13,42.148,-86.431
Pa_20,42.148,-86.431
Pa_26,42.148,-86.431
Pen_7,43.7623,-86.3929
Pen_23,43.7623,-86.3929
Pen_46,43.7623,-86.3929
Ri_25,42.184,-86.382
Ri_26,42.184,-86.382
SLS_31,43.665,-86.496
SLS_35,43.665,-86.496
SLS_69,43.665,-86.496
SLS_67,43.665,-86.496
St_40,42.03,-86.514
Yn_4,41.865,-86.646
Yn_53,41.865,-86.646
UKSW0_179,50.4,-4.9
UKSW0_207,50.4,-4.9
UKSW0_226,50.4,-4.9
UKSW0_240,50.4,-4.9
UKSW0_257,50.3,-4.9
UKSW0_285,50.3,-4.9
UKSW0_302,50.3,-4.8
UKSW0_341,50.4,-4.7
UKSW0_360,50.5,-4.5
UKSE0_118,51.3,0.5
UKSE0_252,51.3,0.5
UKSE0_325,52.2,-1.7
UKSE0_362,51.3,0.4
UKSE0_432,51.2,0.3
UKSE0_470,51.2,0.4
UKSE0_491,51.2,0.3
UKSE0_500,51.1,0.6
UKSE0_533,51.3,1.1
UKSE0_541,51.3,1.1
UKSE0_639,51.1,0.4
UKNW0_003,54.5,-3
UKNW0_102,54.4,-3
UKNW0_233,54.6,-3.3
UKNW0_403,54.7,-3.4
UKNW0_481,54.4,-2.9
UKNW0_488,54.4,-2.9
Br_1,54.6,-3.2
UKID11,57,-3.4
Ca_2,53.3,-1.6
Cn_1,51.3,1.1
Fo_2,56.6,-4.1
Ki_0,56,-4.4
M_1,54.6,-2.3
UKID63,54.1,-1.5
Se_1,54.1,-2.3
UKID71,52.9,-1.3
UKID74,51,-3.1
T_1,56.4,-5.2
UKID93,53.1,-3.3
UKID96,57.4,-5.5
UKID107,52.9,-3.1
UKID116,56.7333,-5.98333
App_12,56.3333,15.9667
App_14,56.3333,15.9667
App_16,56.3333,15.9667
Boo_3,55.86,13.51
Bo_1,49.4013,16.2326
D??_10,63.0167,17.4914
Dr_3,62.6814,18.0165
Dra_4,55.76,14.12
Dra_1,55.76,14.12
DraI_6,49.4112,16.2815
DraIV _8,49.4112,16.2815
DraIV _11,49.4112,16.2815
DraIV _9,49.4112,16.2815
DraIV _7,49.4112,16.2815
DraIV _12,49.4112,16.2815
DraIV _13,49.4112,16.2815
DraIV _22,49.4112,16.2815
Duk,49.1,16.2
Ede_1,62.877,18.177
Ede_5,62.877,18.177
Ede_6,62.877,18.177
Ede_7,62.877,18.177
Ede_9,62.877,18.177
Ed_1,62.9,18.4
Ed_9,62.9,18.4
Fj??_2,56.06,14.29
Fj??_5,56.06,14.29
Fj??_4,56.06,14.29
Fj??_6,56.06,14.29
Fly_1,55.7509,13.3712
Fly_2,55.7509,13.3712
Gr_3,62.6437,17.7339
Gr??_5,62.806,18.1896
Hov_7,56.1,13.74
Hov_10,56.1,13.74
Hov_2,56.1,13.74
Hov_5,56.1,13.74
Hovdal_2,56.1,13.74
Kn_1,55.66,13.4
Li_3,56.0328,14.775
Lom_1,56.09,13.9
L??_1,62.801,18.079
L??_5,62.801,18.079
Ny_2,62.9513,18.2763
Ny_7,62.9513,18.2763
Om_1,62.9308,18.3448
Om_5,62.9308,18.3448
_M??_7,56.1481,15.8155
__1,56.4573,16.1308
Re_2,55.6942,13.4504
Re_3,55.6942,13.4504
Spart_1,55.7097,13.2145
Sr:3,58.9,11.2
St_2,56.4666,16.1284
Stu_1,56.4666,16.1284
T1000,55.6525,13.2197
T1010,55.6525,13.215
T1020,55.6514,13.2233
T1040,55.6494,13.2147
T1050,55.6486,13.2161
T1060,55.6472,13.2225
T1070,55.6481,13.2264
