latitude,longitude
47.4,0.683333
48.5167,-4.06667
48.5167,-4.06667
47.35,3.93333
44.65,-1.16667
46.6667,4.11667
46.6667,4.11667
49.3667,16.2667
49.4211,16.3497
49.4112,16.2815
49.403,16.232
47,15.5
40.8313,-87.735
40.8313,-87.735
40.8313,-87.735
40.8313,-87.735
40.8313,-87.735
40.8313,-87.735
40.9076,-73.2089
40.9076,-73.2089
40.7777,-72.9069
40.7777,-72.9069
40.9447,-72.8615
40.9447,-72.8615
40.9064,-73.1493
40.9064,-73.1493
40.9352,-73.114
40.9352,-73.114
42.3,74.3667
42.1833,73.4
42.5833,73.6333
42.8,76.35
37.35,72.4667
37.9169,-84.4639
41.7976,-86.6691
41.7976,-86.6691
41.8266,-86.4366
41.8266,-86.4366
41.8266,-86.4366
41.8972,-71.4378
42.3634,-71.1445
55.3833,14.05
55.3833,14.05
55.3833,14.05
55.3833,14.05
55.3833,14.05
55.7167,14.1333
55.7167,14.1333
55.7167,14.1333
55.7167,14.1333
55.7167,14.1333
56.7,16.5167
56.7,16.5167
59.4333,17.0167
59.4333,17.0167
59.5667,16.8667
59.5667,16.8667
63.0833,18.3667
41.9,-86.583
41.9,-86.583
43.3431,-86.4045
43.3431,-86.4045
41.879,-86.607
41.879,-86.607
42.405,-85.398
42.405,-85.398
42.184,-86.358
42.184,-86.358
41.847,-86.67
41.847,-86.67
41.8,-86.67
41.8,-86.67
42.051,-86.509
42.051,-86.509
42.051,-86.509
43.595,-86.2657
43.595,-86.2657
43.595,-86.2657
43.595,-86.2657
43.5139,-86.1859
43.5251,-86.1843
43.5251,-86.1843
43.5251,-86.1843
43.5187,-86.1739
43.5356,-86.1788
43.5356,-86.1788
42.166,-86.412
42.166,-86.412
42.166,-86.412
43.2483,-86.3368
43.2483,-86.3368
43.2749,-86.0891
43.2749,-86.0891
43.2749,-86.0891
42.148,-86.431
42.148,-86.431
42.148,-86.431
43.7623,-86.3929
43.7623,-86.3929
43.7623,-86.3929
42.184,-86.382
42.184,-86.382
43.665,-86.496
43.665,-86.496
43.665,-86.496
43.665,-86.496
42.03,-86.514
41.865,-86.646
41.865,-86.646
50.4,-4.9
50.4,-4.9
50.4,-4.9
50.4,-4.9
50.3,-4.9
50.3,-4.9
50.3,-4.8
50.4,-4.7
50.5,-4.5
51.3,0.5
51.3,0.5
52.2,-1.7
51.3,0.4
51.2,0.3
51.2,0.4
51.2,0.3
51.1,0.6
51.3,1.1
51.3,1.1
51.1,0.4
54.5,-3
54.4,-3
54.6,-3.3
54.7,-3.4
54.4,-2.9
54.4,-2.9
54.6,-3.2
57,-3.4
53.3,-1.6
51.3,1.1
56.6,-4.1
56,-4.4
54.6,-2.3
54.1,-1.5
54.1,-2.3
52.9,-1.3
51,-3.1
56.4,-5.2
53.1,-3.3
57.4,-5.5
52.9,-3.1
56.7333,-5.98333
56.3333,15.9667
56.3333,15.9667
56.3333,15.9667
55.86,13.51
49.4013,16.2326
63.0167,17.4914
62.6814,18.0165
55.76,14.12
55.76,14.12
49.4112,16.2815
49.4112,16.2815
49.4112,16.2815
49.4112,16.2815
49.4112,16.2815
49.4112,16.2815
49.4112,16.2815
49.4112,16.2815
49.1,16.2
62.877,18.177
62.877,18.177
62.877,18.177
62.877,18.177
62.877,18.177
62.9,18.4
62.9,18.4
56.06,14.29
56.06,14.29
56.06,14.29
56.06,14.29
55.7509,13.3712
55.7509,13.3712
62.6437,17.7339
62.806,18.1896
56.1,13.74
56.1,13.74
56.1,13.74
56.1,13.74
56.1,13.74
55.66,13.4
56.0328,14.775
56.09,13.9
62.801,18.079
62.801,18.079
62.9513,18.2763
62.9513,18.2763
62.9308,18.3448
62.9308,18.3448
56.1481,15.8155
56.4573,16.1308
55.6942,13.4504
55.6942,13.4504
55.7097,13.2145
58.9,11.2
56.4666,16.1284
56.4666,16.1284
55.6525,13.2197
55.6525,13.215
55.6514,13.2233
55.6494,13.2147
55.6486,13.2161
55.6472,13.2225
55.6481,13.2264
55.6561,13.2178
55.6575,13.2386
55.6,13.2
55.6,13.2
55.6,13.2
55.7,13.2
55.7967,13.1211
55.7931,13.1186
55.7942,13.1222
55.7989,13.1206
55.7936,13.1233
55.7989,13.1219
55.7967,13.1044
55.8078,13.1028
55.8097,13.1342
55.8,13.1367
55.7,13.2
55.7,13.2
55.8364,13.3075
55.8369,13.3033
55.8378,13.3092
55.8403,13.3106
55.8411,13.3047
55.8397,13.2881
55.8369,13.3181
55.8386,13.3186
55.8364,13.2906
55.8383,13.2906
55.9336,13.5519
55.9419,13.5603
55.9403,13.5511
55.9392,13.5539
55.9414,13.5542
55.9428,13.5558
55.9497,13.5533
55.9319,13.5508
55.9281,13.5481
55.9261,13.5319
55.6528,13.2244
62.6425,17.7422
62.6422,17.7406
62.6425,17.7356
62.6425,17.7372
62.8714,18.3447
62.8717,18.3436
62.8717,18.3419
62.8719,18.3422
62.6322,17.69
62.6322,17.6906
62.8892,18.4522
55.7683,14.1386
55.7686,14.1383
55.7689,14.1375
55.7692,14.1369
55.7694,14.1347
55.7706,14.1342
55.7708,14.1342
55.7708,14.1331
55.7719,14.1211
55.7717,14.1206
55.7714,14.1208
62.8836,18.1842
62.8839,18.1836
63.0175,18.3281
63.0167,18.3283
63.0169,18.3283
63.0172,18.3283
62.806,18.1896
62.806,18.1896
62.96,18.2844
62.9611,18.3589
62.9619,18.35
62.9619,18.35
62.9622,18.35
62.9614,18.3608
55.7,13.2
56.27373,13.90045
62.9169,18.4728
55.5796,14.3336
55.5796,14.334
55.5796,14.3336
55.5796,14.3336
55.5796,14.3336
55.5796,14.3336
49.2771,16.6314
49.2771,16.6314
49.2771,16.6314
56.06,13.97
49.3853,16.2544
49.3853,16.2544
49.3853,16.2544
51.85,6.4333
40.8585,-73.4675
40.8585,-73.4675
40.8585,-73.4675
42.4489,-76.5072
42.4489,-76.5072
42.373,-71.0627
42.373,-71.0627
41.2816,-86.621
49.5,73.1
45,1.3
51.2167,4.4
63.324,18.484
63.324,18.484
49.4013,16.2326
49.2,16.6166
51.4083,-0.6383
51.4083,-0.6383
38.3,-92.3
15.1111,-23.6167
62.877,18.177
50.3,6.3
63.0165,18.3174
63.0165,18.3174
50.3,8
51.5338,9.9355
50.3,8
51.4083,-0.6383
51.4083,-0.6383
44.46,-85.37
41.2816,-86.621
38.48,68.49
49.5,73.1
47.984,10.8719
41.59,2.49
55.7522,37.6322
50.3,8.3
51.4083,-0.6383
51.4083,-0.6383
52.24,4.45
49.42,16.36
49.42,16.36
49.42,16.36
46,3.3
48.5,-1.41
48.5,-1.41
38.3333,-3.53333
38.35,68.48
51.4083,-0.6383
51.4083,-0.6383
60,23.5
60,23.5
41.7194,2.93056
41.7194,2.93056
56.0648,13.9707
56.0648,13.9707
48.3,14.45
48.3,14.45
47.25,8.26
52.3,30
52.3,9.3
49.3853,16.2544
57.1539,-2.2207
48.0683,7.62551
54.8,-2.4333
53.448,5.73
50.3,5.3
51.8333,5.5833
50.9167,9.57073
51.3333,6.1
47.5,7.5
52,5.675
52.4584,13.287
56.5459,-4.79821
44.5041,11.3396
54.4,-3.2667
49.5166,9.3166
50.0167,8.6667
41.3599,-122.755
50.5,9.5
54.1,-6.2
53.2699,-1.64293
50.2981,8.26607
29.2144,-13.4811
51.3,1.1
37.3,15
42,12.1
48.0717,1.33867
53.7502,34.7361
40.12,-8.25
40.2077,-8.42639
49.416,2.823
49.8724,8.65081
47.3239,5.04278
50.7224,8.2372
49.4167,16.2667
51.051,13.7336
54.7761,-1.5733
51.3,0.5
55.9494,-3.16028
51.5105,9.68253
50,8.5
50,8.5
49.5955,11.0087
60.1997,24.5682
58.6656,24.9871
44.6447,2.56481
50.1102,8.6822
50.5,8.0167
51.0167,5.86667
50.584,8.67825
47,15.5
43.178,-85.2532
53.5,10.5
52.24,9.44
52.3721,9.73569
55.675,12.5686
51.3472,8.28844
54.4175,9.88682
49,15
50.927,11.587
35,77
54.8969,23.8924
55.6395,-5.66364
50.95,6.9666
50.1797,8.50861
49.631,11.5722
35.0085,135.752
55.6739,-3.78181
52.7333,15.2333
47.984,10.8719
48,0.5
52.1611,4.49015
50.3833,8.0666
50.3833,8.0666
50.001,8.26664
41.3923,-70.6652
51.9183,10.1138
50.95,20.5
50.5,8.5
52.6969,10.981
51.0581,13.2995
50.2,8.5833
53.1667,8.2
50.3827,8.01161
53.3422,8.42255
60.385543,6.193019
59,29
47.04,10.51
53.476,10.6065
49.2655,-123.206
48.0653,-2.96591
